regression_factor,sos_weight,logit_scale,warps_mae,pyth_mae,prior_wins_mae,warps_rmse,pyth_rmse,prior_wins_rmse,n,years
0.55,0.2,5.5,2.310504681405116,2.4003287119947974,2.72972972972973,2.7728088841813046,2.9640929337936237,3.4242116209757283,223,2015-2021
0.55,0.25,5.5,2.310504681405116,2.4003287119947974,2.72972972972973,2.7728088841813046,2.9640929337936237,3.4242116209757283,223,2015-2021
0.55,0.3,5.5,2.310504681405116,2.4003287119947974,2.72972972972973,2.7728088841813046,2.9640929337936237,3.4242116209757283,223,2015-2021
0.7,0.0,7.5,2.317472045434016,2.4003287119947974,2.72972972972973,2.7786145957486745,2.9640929337936237,3.4242116209757283,223,2015-2021
0.7,0.1,7.5,2.317472045434016,2.4003287119947974,2.72972972972973,2.7786145957486745,2.9640929337936237,3.4242116209757283,223,2015-2021
0.7,0.15,7.5,2.317472045434016,2.4003287119947974,2.72972972972973,2.7786145957486745,2.9640929337936237,3.4242116209757283,223,2015-2021
0.7,0.2,7.5,2.317472045434016,2.4003287119947974,2.72972972972973,2.7786145957486745,2.9640929337936237,3.4242116209757283,223,2015-2021
0.7,0.25,7.5,2.317472045434016,2.4003287119947974,2.72972972972973,2.7786145957486745,2.9640929337936237,3.4242116209757283,223,2015-2021
0.7,0.3,7.5,2.317472045434016,2.4003287119947974,2.72972972972973,2.7786145957486745,2.9640929337936237,3.4242116209757283,223,2015-2021
0.65,0.0,7.0,2.3182391845903076,2.4003287119947974,2.72972972972973,2.7793040520391923,2.9640929337936237,3.4242116209757283,223,2015-2021
0.65,0.1,7.0,2.3182391845903076,2.4003287119947974,2.72972972972973,2.7793040520391923,2.9640929337936237,3.4242116209757283,223,2015-2021
0.65,0.15,7.0,2.3182391845903076,2.4003287119947974,2.72972972972973,2.7793040520391923,2.9640929337936237,3.4242116209757283,223,2015-2021
0.65,0.2,7.0,2.3182391845903076,2.4003287119947974,2.72972972972973,2.7793040520391923,2.9640929337936237,3.4242116209757283,223,2015-2021
0.65,0.25,7.0,2.3182391845903076,2.4003287119947974,2.72972972972973,2.7793040520391923,2.9640929337936237,3.4242116209757283,223,2015-2021
0.65,0.3,7.0,2.3182391845903076,2.4003287119947974,2.72972972972973,2.7793040520391923,2.9640929337936237,3.4242116209757283,223,2015-2021
0.6,0.0,6.5,2.319136606894442,2.4003287119947974,2.72972972972973,2.780132294457216,2.9640929337936237,3.4242116209757283,223,2015-2021
0.6,0.1,6.5,2.319136606894442,2.4003287119947974,2.72972972972973,2.780132294457216,2.9640929337936237,3.4242116209757283,223,2015-2021
0.6,0.15,6.5,2.319136606894442,2.4003287119947974,2.72972972972973,2.780132294457216,2.9640929337936237,3.4242116209757283,223,2015-2021
0.6,0.2,6.5,2.319136606894442,2.4003287119947974,2.72972972972973,2.780132294457216,2.9640929337936237,3.4242116209757283,223,2015-2021
0.6,0.25,6.5,2.319136606894442,2.4003287119947974,2.72972972972973,2.780132294457216,2.9640929337936237,3.4242116209757283,223,2015-2021
0.6,0.3,6.5,2.319136606894442,2.4003287119947974,2.72972972972973,2.780132294457216,2.9640929337936237,3.4242116209757283,223,2015-2021
0.55,0.0,6.0,2.3203652635953573,2.4003287119947974,2.72972972972973,2.7811437271448876,2.9640929337936237,3.4242116209757283,223,2015-2021
0.55,0.1,6.0,2.3203652635953573,2.4003287119947974,2.72972972972973,2.7811437271448876,2.9640929337936237,3.4242116209757283,223,2015-2021
0.55,0.15,6.0,2.3203652635953573,2.4003287119947974,2.72972972972973,2.7811437271448876,2.9640929337936237,3.4242116209757283,223,2015-2021
0.55,0.2,6.0,2.3203652635953573,2.4003287119947974,2.72972972972973,2.7811437271448876,2.9640929337936237,3.4242116209757283,223,2015-2021
0.55,0.25,6.0,2.3203652635953573,2.4003287119947974,2.72972972972973,2.7811437271448876,2.9640929337936237,3.4242116209757283,223,2015-2021
0.55,0.3,6.0,2.3203652635953573,2.4003287119947974,2.72972972972973,2.7811437271448876,2.9640929337936237,3.4242116209757283,223,2015-2021
0.5,0.0,5.5,2.3218733870814896,2.4003287119947974,2.72972972972973,2.7824030596264078,2.9640929337936237,3.4242116209757283,223,2015-2021
0.5,0.1,5.5,2.3218733870814896,2.4003287119947974,2.72972972972973,2.7824030596264078,2.9640929337936237,3.4242116209757283,223,2015-2021
0.5,0.15,5.5,2.3218733870814896,2.4003287119947974,2.72972972972973,2.7824030596264078,2.9640929337936237,3.4242116209757283,223,2015-2021
0.5,0.2,5.5,2.3218733870814896,2.4003287119947974,2.72972972972973,2.7824030596264078,2.9640929337936237,3.4242116209757283,223,2015-2021
0.5,0.25,5.5,2.3218733870814896,2.4003287119947974,2.72972972972973,2.7824030596264078,2.9640929337936237,3.4242116209757283,223,2015-2021
0.5,0.3,5.5,2.3218733870814896,2.4003287119947974,2.72972972972973,2.7824030596264078,2.9640929337936237,3.4242116209757283,223,2015-2021
0.65,0.0,7.5,2.3267872194116563,2.4003287119947974,2.72972972972973,2.7870855458184547,2.9640929337936237,3.4242116209757283,223,2015-2021
