model,side,edge_threshold,price_edge_threshold,model_prob_threshold,min_agreement_count,bets,wins,pushes,losses,win_pct,units,roi_pct,seasons,profitable_seasons,profitable_season_pct,worst_season_units
WARPS v1.5d,OVER,0.5,0.0,0.6,2,12,3,0,9,25.0,-5.8,-48.33,3,1,33.33,-3.0
WARPS v1.5d,OVER,0.5,0.0,0.6,3,12,3,0,9,25.0,-5.8,-48.33,3,1,33.33,-3.0
WARPS v1.5d,OVER,0.5,0.0,0.6,4,12,3,0,9,25.0,-5.8,-48.33,3,1,33.33,-3.0
WARPS v1.5d,OVER,0.5,0.05,0.5,1,18,6,0,12,33.33,-5.791,-32.17,3,0,0.0,-3.0
WARPS v1.5d,OVER,0.5,0.05,0.5,2,18,6,0,12,33.33,-5.791,-32.17,3,0,0.0,-3.0
WARPS v1.5d,OVER,0.5,0.05,0.5,3,18,6,0,12,33.33,-5.791,-32.17,3,0,0.0,-3.0
WARPS v1.5d,OVER,0.5,0.05,0.5,4,18,6,0,12,33.33,-5.791,-32.17,3,0,0.0,-3.0
WARPS v1.5d,OVER,0.5,0.05,0.55,1,18,6,0,12,33.33,-5.791,-32.17,3,0,0.0,-3.0
WARPS v1.5d,OVER,0.5,0.05,0.55,2,18,6,0,12,33.33,-5.791,-32.17,3,0,0.0,-3.0
WARPS v1.5d,OVER,0.5,0.05,0.55,3,18,6,0,12,33.33,-5.791,-32.17,3,0,0.0,-3.0
WARPS v1.5d,OVER,0.5,0.05,0.55,4,18,6,0,12,33.33,-5.791,-32.17,3,0,0.0,-3.0
WARPS v1.5d,OVER,0.5,0.05,0.6,1,12,3,0,9,25.0,-5.8,-48.33,3,1,33.33,-3.0
WARPS v1.5d,OVER,0.5,0.05,0.6,2,12,3,0,9,25.0,-5.8,-48.33,3,1,33.33,-3.0
WARPS v1.5d,OVER,0.5,0.05,0.6,3,12,3,0,9,25.0,-5.8,-48.33,3,1,33.33,-3.0
WARPS v1.5d,OVER,0.5,0.05,0.6,4,12,3,0,9,25.0,-5.8,-48.33,3,1,33.33,-3.0
WARPS v1.5d,OVER,0.5,0.1,0.5,1,15,5,0,10,33.33,-4.7,-31.33,3,0,0.0,-2.0
WARPS v1.5d,OVER,0.5,0.1,0.5,2,15,5,0,10,33.33,-4.7,-31.33,3,0,0.0,-2.0
WARPS v1.5d,OVER,0.5,0.1,0.5,3,15,5,0,10,33.33,-4.7,-31.33,3,0,0.0,-2.0
WARPS v1.5d,OVER,0.5,0.1,0.5,4,15,5,0,10,33.33,-4.7,-31.33,3,0,0.0,-2.0
WARPS v1.5d,OVER,0.5,0.1,0.55,1,15,5,0,10,33.33,-4.7,-31.33,3,0,0.0,-2.0
WARPS v1.5d,OVER,0.5,0.1,0.55,2,15,5,0,10,33.33,-4.7,-31.33,3,0,0.0,-2.0
WARPS v1.5d,OVER,0.5,0.1,0.55,3,15,5,0,10,33.33,-4.7,-31.33,3,0,0.0,-2.0
WARPS v1.5d,OVER,0.5,0.1,0.55,4,15,5,0,10,33.33,-4.7,-31.33,3,0,0.0,-2.0
WARPS v1.5d,OVER,0.5,0.1,0.6,1,11,3,0,8,27.27,-4.8,-43.64,3,1,33.33,-3.0
WARPS v1.5d,OVER,0.5,0.1,0.6,2,11,3,0,8,27.27,-4.8,-43.64,3,1,33.33,-3.0
WARPS v1.5d,OVER,0.5,0.1,0.6,3,11,3,0,8,27.27,-4.8,-43.64,3,1,33.33,-3.0
WARPS v1.5d,OVER,0.5,0.1,0.6,4,11,3,0,8,27.27,-4.8,-43.64,3,1,33.33,-3.0
