w_pyth_edge,w_pass_epa,w_point_diff,regression_factor,sos_weight,logit_scale,warps_mae,pyth_mae,pw_mae,warps_rmse,n,years
0.7,0.1,0.2,0.75,0.0,5.5,2.358232971922917,2.5877737034133133,2.8815977175463625,2.871301334112922,702,2000-2021
0.65,0.1,0.25,0.75,0.0,5.5,2.3582366870365212,2.5877737034133133,2.8815977175463625,2.871078412995054,702,2000-2021
0.75,0.1,0.15,0.75,0.0,5.5,2.358250874623012,2.5877737034133133,2.8815977175463625,2.8715491800112454,702,2000-2021
1.0,0.0,0.0,0.75,0.0,5.5,2.3582535736944865,2.5877737034133133,2.8815977175463625,2.873051678625038,702,2000-2021
0.6,0.1,0.3,0.75,0.0,5.5,2.3582681693273555,2.5877737034133133,2.8815977175463625,2.8708803905243716,702,2000-2021
0.8,0.1,0.1,0.75,0.0,5.5,2.358295136934924,2.5877737034133133,2.8815977175463625,2.8718219748125207,702,2000-2021
0.4,0.05,0.55,0.75,0.0,5.5,2.3583187202011278,2.5877737034133133,2.8815977175463625,2.8701146458224986,702,2000-2021
0.85,0.1,0.05,0.75,0.0,5.5,2.358338584160153,2.5877737034133133,2.8815977175463625,2.8721197406115073,702,2000-2021
0.25,0.0,0.75,0.75,0.0,5.5,2.3583513885942318,2.5877737034133133,2.8815977175463625,2.8701303340976927,702,2000-2021
0.9,0.1,-0.0,0.75,0.0,5.5,2.3583982399813124,2.5877737034133133,2.8815977175463625,2.872442497458752,702,2000-2021
0.55,0.1,0.35,0.75,0.0,5.5,2.358431362791944,2.5877737034133133,2.8815977175463625,2.8707072385742656,702,2000-2021
0.35,0.05,0.6,0.75,0.0,5.5,2.3584956717045955,2.5877737034133133,2.8815977175463625,2.870042201446399,702,2000-2021
0.2,0.0,0.8,0.75,0.0,5.5,2.3585104384886253,2.5877737034133133,2.8815977175463625,2.8701332026032333,702,2000-2021
0.5,0.1,0.4,0.75,0.0,5.5,2.3586175572975443,2.5877737034133133,2.8815977175463625,2.8705589270426715,702,2000-2021
0.15,0.0,0.85,0.75,0.0,5.5,2.35867642984196,2.5877737034133133,2.8815977175463625,2.8701605668856325,702,2000-2021
0.3,0.05,0.65,0.75,0.0,5.5,2.3586784134433074,2.5877737034133133,2.8815977175463625,2.869994421046042,702,2000-2021
0.45,0.1,0.45,0.75,0.0,5.5,2.358815666489312,2.5877737034133133,2.8815977175463625,2.8704354238703975,702,2000-2021
0.1,0.0,0.9,0.75,0.0,5.5,2.358841446762642,2.5877737034133133,2.8815977175463625,2.8702123819696967,702,2000-2021
0.25,0.05,0.7,0.75,0.0,5.5,2.358877882418969,2.5877737034133133,2.8815977175463625,2.8699712650220652,702,2000-2021
0.4,0.1,0.5,0.75,0.0,5.5,2.3590128580832306,2.5877737034133133,2.8815977175463625,2.8703366950598763,702,2000-2021
0.75,0.15,0.1,0.75,0.0,5.5,2.359022453767293,2.5877737034133133,2.8815977175463625,2.8721608660085143,702,2000-2021
0.7,0.15,0.15,0.75,0.0,5.5,2.359054362600862,2.5877737034133133,2.8815977175463625,2.8719112977664993,702,2000-2021
0.8,0.15,0.05,0.75,0.0,5.5,2.359062865978254,2.5877737034133133,2.8815977175463625,2.8724354126958342,702,2000-2021
0.05,0.0,0.95,0.75,0.0,5.5,2.3590708844180814,2.5877737034133133,2.8815977175463625,2.8702886010930193,702,2000-2021
0.2,0.05,0.75,0.75,0.0,5.5,2.359076418577595,2.5877737034133133,2.8815977175463625,2.869972691920216,702,2000-2021
0.65,0.15,0.2,0.75,0.0,5.5,2.359096492153506,2.5877737034133133,2.8815977175463625,2.87168668379735,702,2000-2021
0.85,0.15,0.0,0.75,0.0,5.5,2.3591072226562697,2.5877737034133133,2.8815977175463625,2.872734959968561,702,2000-2021
0.6,0.15,0.25,0.75,0.0,5.5,2.3591379172350817,2.5877737034133133,2.8815977175463625,2.8714869979133697,702,2000-2021
0.35,0.1,0.55,0.75,0.0,5.5,2.359209129469954,2.5877737034133133,2.8815977175463625,2.8702627046943237,702,2000-2021
0.55,0.15,0.3,0.75,0.0,5.5,2.359246785082633,2.5877737034133133,2.8815977175463625,2.871312211929157,702,2000-2021
0.15,0.05,0.8,0.75,0.0,5.5,2.359274019566676,2.5877737034133133,2.8815977175463625,2.86999865845188,702,2000-2021
0.0,0.0,1.0,0.75,0.0,5.5,2.35934526878464,2.5877737034133133,2.8815977175463625,2.8703891757273343,702,2000-2021
0.3,0.1,0.6,0.75,0.0,5.5,2.3594044781192394,2.5877737034133133,2.8815977175463625,2.870213414957298,702,2000-2021
