w_pass_epa,w_rush_epa,w_success,w_explosive,w_point_diff,w_pyth_edge,w_turnover,config_name,regression_factor,sos_weight,logit_scale,warps_mae,pyth_mae,prior_wins_mae,warps_rmse,pyth_rmse,prior_wins_rmse,n,years
0.03667914137153222,0.19937722078541423,0.3966870621745315,0.06562236021852678,0.2632310738192711,0.024079822132664023,0.014323319498060177,random_0042,0.65,0.0,6.5,2.3054050877832917,2.4003287119947974,2.72972972972973,2.766419322627171,2.9640929337936237,3.4242116209757283,223,2015-2021
0.11306853481736887,0.015442562625558957,0.33400715788074087,0.0734016263322408,0.12366544816669639,0.25226520522988144,0.0881494649475126,random_0431,0.65,0.0,6.5,2.305444307293408,2.4003287119947974,2.72972972972973,2.758954130953951,2.9640929337936237,3.4242116209757283,223,2015-2021
0.0013254958596118902,0.09817002828254486,0.4677414584185099,0.13167290651901528,0.03721873314061631,0.15469024551163274,0.10918113226806897,random_0373,0.65,0.0,6.5,2.305635924538479,2.4003287119947974,2.72972972972973,2.762375432530726,2.9640929337936237,3.4242116209757283,223,2015-2021
0.0797876059866901,0.014738751070804405,0.2537610580989033,0.13816171356837745,0.0933123770530859,0.40031272906576104,0.019925765156377957,random_0064,0.65,0.0,6.5,2.3059227676075063,2.4003287119947974,2.72972972972973,2.764263550199869,2.9640929337936237,3.4242116209757283,223,2015-2021
0.04050533975196624,0.11487711238383962,0.47567641110658787,0.11962245738396901,0.036017231242972736,0.12033741269737862,0.09296403543328605,random_0167,0.65,0.0,6.5,2.306167955786984,2.4003287119947974,2.72972972972973,2.7628942859687777,2.9640929337936237,3.4242116209757283,223,2015-2021
0.05820340292993035,0.0044705479210132085,0.2081355636879071,0.13272885910431453,0.25266472257559064,0.32681758750907636,0.01697931627216779,random_0337,0.65,0.0,6.5,2.3063044352674904,2.4003287119947974,2.72972972972973,2.7655567675595503,2.9640929337936237,3.4242116209757283,223,2015-2021
0.2515413731187849,0.000709344780819238,0.48832386889175083,0.0899987086547113,0.14046931547421285,0.027808553504411554,0.0011488355753092444,random_0361,0.65,0.0,6.5,2.306313020370366,2.4003287119947974,2.72972972972973,2.7584035353002974,2.9640929337936237,3.4242116209757283,223,2015-2021
0.22273244770062886,0.036800047812396645,0.5159081698255185,0.07462058003178124,0.0643956065167641,0.0262215218387227,0.05932162627418804,random_0272,0.65,0.0,6.5,2.3065698755769275,2.4003287119947974,2.72972972972973,2.758180259495714,2.9640929337936237,3.4242116209757283,223,2015-2021
0.20443765280579482,0.07074564910625457,0.42940074317052357,0.11161836737567819,0.014983443627123375,0.12516668450382148,0.04364745941080397,random_0309,0.65,0.0,6.5,2.306911101503228,2.4003287119947974,2.72972972972973,2.7630586619387416,2.9640929337936237,3.4242116209757283,223,2015-2021
0.09304783671426896,0.1714295065682041,0.45714444694909967,0.08430775981731216,0.02599414252002169,0.11102582760935573,0.0570504798217378,random_0015,0.65,0.0,6.5,2.3069806288725276,2.4003287119947974,2.72972972972973,2.765383394981618,2.9640929337936237,3.4242116209757283,223,2015-2021
