regression_factor,sos_weight,logit_scale,warps_mae,pyth_mae,pw_mae,warps_rmse,n,years
0.55,0.2,7.0,2.369757297178477,2.5877737034133133,2.8815977175463625,2.864724594205439,702,2000-2021
0.55,0.25,7.0,2.369757297178477,2.5877737034133133,2.8815977175463625,2.864724594205439,702,2000-2021
0.55,0.3,7.0,2.369757297178477,2.5877737034133133,2.8815977175463625,2.864724594205439,702,2000-2021
0.5,0.0,6.5,2.3716386526350783,2.5877737034133133,2.8815977175463625,2.8666214201777707,702,2000-2021
0.5,0.1,6.5,2.3716386526350783,2.5877737034133133,2.8815977175463625,2.8666214201777707,702,2000-2021
0.5,0.15,6.5,2.3716386526350783,2.5877737034133133,2.8815977175463625,2.8666214201777707,702,2000-2021
0.5,0.2,6.5,2.3716386526350783,2.5877737034133133,2.8815977175463625,2.8666214201777707,702,2000-2021
0.5,0.25,6.5,2.3716386526350783,2.5877737034133133,2.8815977175463625,2.8666214201777707,702,2000-2021
0.5,0.3,6.5,2.3716386526350783,2.5877737034133133,2.8815977175463625,2.8666214201777707,702,2000-2021
0.55,0.0,7.5,2.3752312879566873,2.5877737034133133,2.8815977175463625,2.8705373043995035,702,2000-2021
0.55,0.1,7.5,2.3752312879566873,2.5877737034133133,2.8815977175463625,2.8705373043995035,702,2000-2021
0.55,0.15,7.5,2.3752312879566873,2.5877737034133133,2.8815977175463625,2.8705373043995035,702,2000-2021
0.55,0.2,7.5,2.3752312879566873,2.5877737034133133,2.8815977175463625,2.8705373043995035,702,2000-2021
0.55,0.25,7.5,2.3752312879566873,2.5877737034133133,2.8815977175463625,2.8705373043995035,702,2000-2021
0.55,0.3,7.5,2.3752312879566873,2.5877737034133133,2.8815977175463625,2.8705373043995035,702,2000-2021
0.5,0.0,7.0,2.37763228094556,2.5877737034133133,2.8815977175463625,2.8731419277127688,702,2000-2021
0.5,0.1,7.0,2.37763228094556,2.5877737034133133,2.8815977175463625,2.8731419277127688,702,2000-2021
0.5,0.15,7.0,2.37763228094556,2.5877737034133133,2.8815977175463625,2.8731419277127688,702,2000-2021
0.5,0.2,7.0,2.37763228094556,2.5877737034133133,2.8815977175463625,2.8731419277127688,702,2000-2021
0.5,0.25,7.0,2.37763228094556,2.5877737034133133,2.8815977175463625,2.8731419277127688,702,2000-2021
0.5,0.3,7.0,2.37763228094556,2.5877737034133133,2.8815977175463625,2.8731419277127688,702,2000-2021
0.5,0.0,7.5,2.3838488089820937,2.5877737034133133,2.8815977175463625,2.8798727794886467,702,2000-2021
0.5,0.1,7.5,2.3838488089820937,2.5877737034133133,2.8815977175463625,2.8798727794886467,702,2000-2021
0.5,0.15,7.5,2.3838488089820937,2.5877737034133133,2.8815977175463625,2.8798727794886467,702,2000-2021
0.5,0.2,7.5,2.3838488089820937,2.5877737034133133,2.8815977175463625,2.8798727794886467,702,2000-2021
