key,season,season_type,week,team,opponent,home_away,matchup_key,score_for,score_against,latest_stage,analysis_available,classification,pick_market,pick_side,pick_on_team,selector_score,data_quality_status,source_health_status
NYG:W18,2025,REG,18,NYG,DAL,home,DAL@NYG,34,17,final,True,⚠️ LANDMINE,,,False,,,
DET:W18,2025,REG,18,DET,@CHI,away,DET@CHI,19,16,initial,True,⚠️ LANDMINE,,,False,,,
CHI:W18,2025,REG,18,CHI,DET,home,DET@CHI,16,19,initial,True,⚠️ LANDMINE,,,False,,,
GB:W18,2025,REG,18,GB,@MIN,away,GB@MIN,3,16,initial,True,❌ FADE,,,False,,,
MIN:W18,2025,REG,18,MIN,GB,home,GB@MIN,16,3,initial,True,❌ FADE,,,False,,,
IND:W18,2025,REG,18,IND,@HOU,away,IND@HOU,30,38,initial,True,⚠️ LANDMINE,,,False,,,
HOU:W18,2025,REG,18,HOU,IND,home,IND@HOU,38,30,initial,True,⚠️ LANDMINE,,,False,,,
KC:W18,2025,REG,18,KC,@LV,away,KC@LV,12,14,final,True,⚠️ LANDMINE,,,False,,,
LV:W18,2025,REG,18,LV,KC,home,KC@LV,14,12,final,True,⚠️ LANDMINE,,,False,,,
LAC:W18,2025,REG,18,LAC,@DEN,away,LAC@DEN,3,19,initial,True,❌ FADE,,,False,,,
DEN:W18,2025,REG,18,DEN,LAC,home,LAC@DEN,19,3,initial,True,❌ FADE,,,False,,,
MIA:W18,2025,REG,18,MIA,@NE,away,MIA@NE,10,38,initial,True,⚠️ LANDMINE,,,False,,,
NE:W18,2025,REG,18,NE,MIA,home,MIA@NE,38,10,initial,True,⚠️ LANDMINE,,,False,,,
NO:W18,2025,REG,18,NO,@ATL,away,NO@ATL,17,19,initial,True,⚠️ LANDMINE,,,False,,,
ATL:W18,2025,REG,18,ATL,NO,home,NO@ATL,19,17,initial,True,⚠️ LANDMINE,,,False,,,
NYJ:W18,2025,REG,18,NYJ,@BUF,away,NYJ@BUF,8,35,initial,True,⚠️ LANDMINE,,,False,,,
BUF:W18,2025,REG,18,BUF,NYJ,home,NYJ@BUF,35,8,initial,True,⚠️ LANDMINE,,,False,,,
SEA:W18,2025,REG,18,SEA,@SF,away,SEA@SF,13,3,initial,True,⚠️ LANDMINE,,,False,,,
SF:W18,2025,REG,18,SF,SEA,home,SEA@SF,3,13,initial,True,⚠️ LANDMINE,,,False,,,
TEN:W18,2025,REG,18,TEN,@JAX,away,TEN@JAX,7,41,initial,True,⚠️ LANDMINE,,,False,,,
JAX:W18,2025,REG,18,JAX,TEN,home,TEN@JAX,41,7,initial,True,⚠️ LANDMINE,,,False,,,
WSH:W18,2025,REG,18,WSH,@PHI,away,WSH@PHI,24,17,initial,True,❌ FADE,,,False,,,
PHI:W18,2025,REG,18,PHI,WSH,home,WSH@PHI,17,24,initial,True,❌ FADE,,,False,,,
BUF:W19,2025,POST,19,BUF,@JAX,away,BUF@JAX,27,24,,False,,,,False,,,
JAX:W19,2025,POST,19,JAX,BUF,home,BUF@JAX,24,27,,False,,,,False,,,
GB:W19,2025,POST,19,GB,@CHI,away,GB@CHI,27,31,,False,,,,False,,,
CHI:W19,2025,POST,19,CHI,GB,home,GB@CHI,31,27,,False,,,,False,,,
HOU:W19,2025,POST,19,HOU,@PIT,away,HOU@PIT,30,6,,False,,,,False,,,
PIT:W19,2025,POST,19,PIT,HOU,home,HOU@PIT,6,30,,False,,,,False,,,
LAC:W19,2025,POST,19,LAC,@NE,away,LAC@NE,3,16,,False,,,,False,,,
NE:W19,2025,POST,19,NE,LAC,home,LAC@NE,16,3,,False,,,,False,,,
LAR:W19,2025,POST,19,LAR,@CAR,away,LAR@CAR,34,31,,False,,,,False,,,
CAR:W19,2025,POST,19,CAR,LAR,home,LAR@CAR,31,34,,False,,,,False,,,
SF:W19,2025,POST,19,SF,@PHI,away,SF@PHI,23,19,,False,,,,False,,,
PHI:W19,2025,POST,19,PHI,SF,home,SF@PHI,19,23,,False,,,,False,,,
BUF:WWC,2025,,WC,BUF,@JAX,away,BUF@JAX,27.0,24.0,update,True,⚠️ LANDMINE,,,False,,,
JAX:WWC,2025,,WC,JAX,BUF,home,BUF@JAX,24.0,27.0,update,True,⚠️ LANDMINE,,,False,,,
GB:WWC,2025,,WC,GB,@CHI,away,GB@CHI,27.0,31.0,update,True,⚠️ LANDMINE,,,False,,,
CHI:WWC,2025,,WC,CHI,GB,home,GB@CHI,31.0,27.0,update,True,⚠️ LANDMINE,,,False,,,
HOU:WWC,2025,,WC,HOU,@PIT,away,HOU@PIT,30.0,6.0,update,True,⚠️ LANDMINE,,,False,,,
PIT:WWC,2025,,WC,PIT,HOU,home,HOU@PIT,6.0,30.0,update,True,⚠️ LANDMINE,,,False,,,
LAC:WWC,2025,,WC,LAC,@NE,away,LAC@NE,3.0,16.0,update,True,❌ FADE,,,False,,,
NE:WWC,2025,,WC,NE,LAC,home,LAC@NE,16.0,3.0,update,True,❌ FADE,,,False,,,
LAR:WWC,2025,,WC,LAR,@CAR,away,LAR@CAR,34.0,31.0,update,True,⚠️ LANDMINE,,,False,,,
CAR:WWC,2025,,WC,CAR,LAR,home,LAR@CAR,31.0,34.0,update,True,⚠️ LANDMINE,,,False,,,
SF:WWC,2025,,WC,SF,@PHI,away,SF@PHI,23.0,19.0,update,True,⚠️ LANDMINE,,,False,,,
PHI:WWC,2025,,WC,PHI,SF,home,SF@PHI,19.0,23.0,update,True,⚠️ LANDMINE,,,False,,,
TBD:WWC,2026,POST,WC,TBD,TBD,home,TBD@TBD,0,0,,False,,,,False,,,
