season,week,team,opponent,matchup_key,game_key,home_away,day,win_probability,fair_moneyline,warps_wins,opponent_warps_wins,division_game,opponent_sos_rank,team_has_bye_before,opponent_has_bye_before,future_safe_spots,future_elite_spots,best_future_win_probability,future_value_cost,volatility_penalty,safety_score,survivor_score,risk_band,tier,reasons
2026,3,NYG,TEN,TEN@NYG,3:TEN@NYG,home,Sun,0.6163,-161,7.53,5.97,False,25,False,False,0,0,0.5909,0.0,0.0,61.63,61.63,usable,secondary,WARPS win probability 61.6%; Home-field survivor spot; Low future opportunity cost
2026,3,SF,ARI,ARI@SF,3:ARI@SF,home,Sun,0.6646,-198,9.64,6.68,True,3,False,False,2,1,0.7109,5.73,3.0,66.46,57.73,strong,deep_pool,WARPS win probability 66.5%; Home-field survivor spot; Division game raises upset volatility; Save risk: 1 future elite spot(s)
2026,3,GB,ATL,ATL@GB,3:ATL@GB,home,Thu,0.5919,-145,8.87,7.99,False,27,False,False,3,0,0.6356,4.39,0.0,59.19,54.8,thin,deep_pool,WARPS win probability 59.2%; Home-field survivor spot
2026,3,PIT,CIN,CIN@PIT,3:CIN@PIT,home,Sun,0.6013,-151,8.88,7.74,True,30,False,False,2,0,0.636,3.02,3.0,60.13,54.11,usable,deep_pool,WARPS win probability 60.1%; Home-field survivor spot; Division game raises upset volatility
2026,3,CLE,CAR,CAR@CLE,3:CAR@CLE,home,Sun,0.5501,-122,6.76,7.02,False,10,False,False,0,0,0.6149,1.17,0.0,55.01,53.84,thin,avoid,WARPS win probability 55.0%; Home-field survivor spot; Low future opportunity cost
2026,3,TB,MIN,MIN@TB,3:MIN@TB,home,Sun,0.5423,-118,8.56,9.03,False,11,False,False,0,0,0.6156,1.32,0.0,54.23,52.91,avoid,avoid,WARPS win probability 54.2%; Home-field survivor spot; Low future opportunity cost
2026,3,BUF,LAC,LAC@BUF,3:LAC@BUF,home,Sun,0.6238,-166,10.22,8.45,False,9,False,False,5,1,0.7376,10.55,0.0,62.38,51.83,usable,deep_pool,WARPS win probability 62.4%; Home-field survivor spot; Save risk: 1 future elite spot(s)
2026,3,JAX,NE,NE@JAX,3:NE@JAX,home,Sun,0.5755,-136,10.47,10.04,False,7,False,False,2,1,0.714,7.39,0.0,57.55,50.16,thin,deep_pool,WARPS win probability 57.6%; Home-field survivor spot; Save risk: 1 future elite spot(s)
2026,3,CHI,PHI,PHI@CHI,3:PHI@CHI,home,Mon,0.5082,-103,8.44,9.82,False,24,False,False,1,0,0.6828,4.34,0.0,50.82,46.48,avoid,avoid,WARPS win probability 50.8%; Home-field survivor spot
2026,3,DAL,BAL,BAL@DAL,3:BAL@DAL,home,Sun,0.4685,+113,7.09,9.53,False,23,False,False,0,0,0.6006,2.38,0.0,46.85,44.47,avoid,avoid,WARPS win probability 46.9%; Home-field survivor spot; Low future opportunity cost
2026,3,BAL,DAL,BAL@DAL,3:BAL@DAL,away,Sun,0.5315,-113,9.53,7.09,False,20,False,False,3,0,0.6844,6.35,3.5,53.15,43.3,avoid,avoid,WARPS win probability 53.1%; Road favorite requires extra caution
2026,3,MIA,KC,KC@MIA,3:KC@MIA,home,Sun,0.4641,+115,6.76,9.32,False,5,False,False,1,0,0.6259,4.11,0.0,46.41,42.3,avoid,avoid,WARPS win probability 46.4%; Home-field survivor spot
2026,3,DEN,LAR,LAR@DEN,3:LAR@DEN,home,Sun,0.503,-101,9.52,11.04,False,14,False,False,2,1,0.7072,8.58,0.0,50.3,41.72,avoid,avoid,WARPS win probability 50.3%; Home-field survivor spot; Save risk: 1 future elite spot(s)
2026,3,SEA,WAS,SEA@WAS,3:SEA@WAS,away,Sun,0.6153,-160,11.44,6.71,False,16,False,False,8,2,0.7219,16.52,3.5,61.53,41.51,usable,deep_pool,WARPS win probability 61.5%; Road favorite requires extra caution; Save risk: 2 future elite spot(s)
2026,3,CAR,CLE,CAR@CLE,3:CAR@CLE,away,Sun,0.4499,+122,7.02,6.76,False,32,False,False,0,0,0.5415,1.65,3.5,44.99,39.84,avoid,avoid,WARPS win probability 45.0%; Road favorite requires extra caution; Low future opportunity cost
2026,3,IND,HOU,HOU@IND,3:HOU@IND,home,Sun,0.5135,-106,9.56,10.8,True,26,False,False,5,0,0.6854,9.09,3.0,51.35,39.26,avoid,avoid,WARPS win probability 51.3%; Home-field survivor spot; Division game raises upset volatility
2026,3,PHI,CHI,PHI@CHI,3:PHI@CHI,away,Mon,0.4918,+103,9.82,8.44,False,1,False,False,3,0,0.6593,6.61,3.5,49.18,39.06,avoid,avoid,WARPS win probability 49.2%; Road favorite requires extra caution
2026,3,KC,MIA,KC@MIA,3:KC@MIA,away,Sun,0.5359,-115,9.32,6.76,False,2,False,False,3,2,0.7106,11.74,3.5,53.59,38.35,avoid,avoid,WARPS win probability 53.6%; Road favorite requires extra caution; Save risk: 2 future elite spot(s)
2026,3,WAS,SEA,SEA@WAS,3:SEA@WAS,home,Sun,0.3847,+160,6.71,11.44,False,15,False,False,0,0,0.5456,2.9,0.0,38.47,35.57,avoid,avoid,WARPS win probability 38.5%; Home-field survivor spot; Low future opportunity cost
2026,3,MIN,TB,MIN@TB,3:MIN@TB,away,Sun,0.4577,+118,9.03,8.56,False,22,False,False,3,0,0.6429,6.93,3.5,45.77,35.34,avoid,avoid,WARPS win probability 45.8%; Road favorite requires extra caution
2026,3,ATL,GB,ATL@GB,3:ATL@GB,away,Thu,0.4081,+145,7.99,8.87,False,4,False,False,0,0,0.5774,3.05,3.5,40.81,34.26,avoid,avoid,WARPS win probability 40.8%; Road favorite requires extra caution; Low future opportunity cost
2026,3,LAR,DEN,LAR@DEN,3:LAR@DEN,away,Sun,0.497,+101,11.04,9.52,False,13,False,False,6,1,0.7097,13.53,3.5,49.7,32.67,avoid,avoid,WARPS win probability 49.7%; Road favorite requires extra caution; Save risk: 1 future elite spot(s)
2026,3,TEN,NYG,TEN@NYG,3:TEN@NYG,away,Sun,0.3837,+161,5.97,7.53,False,17,False,False,0,0,0.5322,2.67,3.5,38.37,32.2,avoid,avoid,WARPS win probability 38.4%; Road favorite requires extra caution; Low future opportunity cost
2026,3,HOU,IND,HOU@IND,3:HOU@IND,away,Sun,0.4865,+106,10.8,9.56,True,29,False,False,3,1,0.724,10.38,6.5,48.65,31.77,avoid,avoid,WARPS win probability 48.6%; Road favorite requires extra caution; Division game raises upset volatility; Save risk: 1 future elite spot(s)
2026,3,LV,NO,LV@NO,3:LV@NO,away,Sun,0.3588,+179,5.24,7.51,False,31,False,False,0,0,0.5326,3.13,3.5,35.88,29.25,avoid,avoid,WARPS win probability 35.9%; Road favorite requires extra caution; Low future opportunity cost
2026,3,CIN,PIT,CIN@PIT,3:CIN@PIT,away,Sun,0.3987,+151,7.74,8.88,True,18,False,False,1,0,0.6238,5.25,6.5,39.87,28.12,avoid,avoid,WARPS win probability 39.9%; Road favorite requires extra caution; Division game raises upset volatility
2026,3,LAC,BUF,LAC@BUF,3:LAC@BUF,away,Sun,0.3762,+166,8.45,10.22,False,8,False,False,1,0,0.6831,6.72,3.5,37.62,27.4,avoid,avoid,WARPS win probability 37.6%; Road favorite requires extra caution
2026,3,NE,JAX,NE@JAX,3:NE@JAX,away,Sun,0.4245,+136,10.04,10.47,False,21,False,False,4,2,0.7323,15.34,3.5,42.45,23.61,avoid,avoid,WARPS win probability 42.4%; Road favorite requires extra caution; Save risk: 2 future elite spot(s)
2026,3,ARI,SF,ARI@SF,3:ARI@SF,away,Sun,0.3354,+198,6.68,9.64,True,19,False,False,1,0,0.623,6.38,6.5,33.54,20.66,avoid,avoid,WARPS win probability 33.5%; Road favorite requires extra caution; Division game raises upset volatility
2026,3,NYJ,DET,NYJ@DET,3:NYJ@DET,away,Sun,0.2558,+291,4.93,10.45,False,28,False,False,0,0,0.5482,5.26,3.5,25.58,16.82,avoid,avoid,WARPS win probability 25.6%; Road favorite requires extra caution; Low future opportunity cost
2026,4,CHI,NYJ,NYJ@CHI,4:NYJ@CHI,home,Sun,0.6828,-215,8.44,4.93,False,12,False,False,0,0,0.5938,0.0,0.0,68.28,68.28,strong,primary,WARPS win probability 68.3%; Home-field survivor spot; Low future opportunity cost
2026,4,BAL,TEN,TEN@BAL,4:TEN@BAL,home,Sun,0.6844,-217,9.53,5.97,False,25,False,False,2,0,0.6582,2.4,0.0,68.44,66.04,strong,primary,WARPS win probability 68.4%; Home-field survivor spot
2026,4,HOU,DAL,DAL@HOU,4:DAL@HOU,home,Sun,0.6892,-222,10.8,7.09,False,20,False,False,2,1,0.724,5.53,0.0,68.92,63.39,strong,secondary,WARPS win probability 68.9%; Home-field survivor spot; Save risk: 1 future elite spot(s)
2026,4,MIN,MIA,MIA@MIN,4:MIA@MIN,home,Sun,0.6412,-179,9.03,6.76,False,2,False,False,2,0,0.6429,2.43,0.0,64.12,61.69,usable,secondary,WARPS win probability 64.1%; Home-field survivor spot
2026,4,NYG,ARI,ARI@NYG,4:ARI@NYG,home,Sun,0.5909,-144,7.53,6.68,False,3,False,False,0,0,0.5898,0.0,0.0,59.09,59.09,thin,deep_pool,WARPS win probability 59.1%; Home-field survivor spot; Low future opportunity cost
2026,4,TB,GB,GB@TB,4:GB@TB,home,Sun,0.5482,-121,8.56,8.87,False,4,False,False,0,0,0.6156,1.21,0.0,54.82,53.61,avoid,avoid,WARPS win probability 54.8%; Home-field survivor spot; Low future opportunity cost
2026,4,SEA,LAC,LAC@SEA,4:LAC@SEA,home,Sun,0.6656,-199,11.44,8.45,False,9,False,False,7,2,0.7219,14.41,0.0,66.56,52.15,strong,deep_pool,WARPS win probability 66.6%; Home-field survivor spot; Save risk: 2 future elite spot(s)
2026,4,NO,ATL,ATL@NO,4:ATL@NO,home,Mon,0.5419,-118,7.51,7.99,True,27,False,False,0,0,0.5901,0.87,3.0,54.19,50.32,avoid,avoid,WARPS win probability 54.2%; Home-field survivor spot; Division game raises upset volatility; Low future opportunity cost
